Name,IPAddress,ColorPrinter,OIDBlack,OIDColor
"BIZHUB C3350i (281)","192.173.253.92",true,"1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.12.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1","1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.4.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1"
"BIZHUB C258 COLOR","192.173.253.98",true,"1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.12.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1","1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.4.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1"
"BIZHUB C3350i EG","192.173.253.97",true,"1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.12.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1","1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.4.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1"
"BIZHUB C3351 COLOR","192.173.253.88",true,"1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.12.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1","1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.4.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1"
"BIZHUB C364e COLOR m. fiery","192.173.253.83",true,"1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.12.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1","1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.4.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1"
"BIZHUB C360i COLOR","192.173.253.85",true,"1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.12.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1","1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.4.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1"
"BIZHUB C3350i (254)","192.173.253.93",true,"1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.12.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1","1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.4.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1"
"BIZHUB C3350i (753)","192.173.253.94",true,"1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.12.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1","1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.4.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1"
"BIZHUB C3320i (663)","192.173.253.95",true,"1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.12.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1","1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.4.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1"
"BIZHUB C308e","192.173.253.99",true,"1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.1.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.12.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1","1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.2;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.2.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.2.1.5.4.1;1.3.6.1.4.1.18334.1.1.1.5.7.2.3.1.7.1"
